# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v3.5 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2015-01-01T00:00:00.0
# Date end (ISO 8601): 2020-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): -23.7980
# Longitude (positive East, ISO 19115): 133.8880
# Altitude (m): 546.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2023-06-15
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2015-01-01T00:00:00.0/2015-01-01T01:00:00.0;1135.4772;908.0953;839.3720;68.7233;1040.2537
2015-01-01T01:00:00.0/2015-01-01T02:00:00.0;1298.5646;1052.4615;979.2889;73.1727;1061.5492
2015-01-01T02:00:00.0/2015-01-01T03:00:00.0;1388.3523;1131.7179;1055.6898;76.0280;1070.4714
2015-01-01T03:00:00.0/2015-01-01T04:00:00.0;1398.7170;1140.1627;1063.3895;76.7733;1070.2944
2015-01-01T04:00:00.0/2015-01-01T05:00:00.0;1328.9463;1077.1017;1001.7460;75.3557;1061.0913
2015-01-01T05:00:00.0/2015-01-01T06:00:00.0;1183.7877;947.1066;874.8417;72.2648;1040.0327
2015-01-01T06:00:00.0/2015-01-01T07:00:00.0;973.1253;760.4564;692.9326;67.5238;1001.4099
2015-01-01T07:00:00.0/2015-01-01T08:00:00.0;711.3057;532.4866;472.2121;60.2746;931.4681
2015-01-01T08:00:00.0/2015-01-01T09:00:00.0;416.1597;284.1004;236.4771;47.6234;786.8619
2015-01-01T09:00:00.0/2015-01-01T10:00:00.0;111.1674;59.2835;40.2770;19.0064;335.2065
2015-01-01T10:00:00.0/2015-01-01T11:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-01T11:00:00.0/2015-01-01T12:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-01T12:00:00.0/2015-01-01T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-01T13:00:00.0/2015-01-01T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-01T14:00:00.0/2015-01-01T15:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-01T15:00:00.0/2015-01-01T16:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-01T16:00:00.0/2015-01-01T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-01T17:00:00.0/2015-01-01T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-01T18:00:00.0/2015-01-01T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-01T19:00:00.0/2015-01-01T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-01T20:00:00.0/2015-01-01T21:00:00.0;52.3974;24.4410;14.0427;10.3983;164.7985
2015-01-01T21:00:00.0/2015-01-01T22:00:00.0;334.6255;218.2593;174.3778;43.8814;709.8105
2015-01-01T22:00:00.0/2015-01-01T23:00:00.0;635.3520;468.8814;412.7833;56.0981;909.9152
2015-01-01T23:00:00.0/2015-01-02T00:00:00.0;907.9240;705.6588;644.1024;61.5564;997.4223
2015-01-02T00:00:00.0/2015-01-02T01:00:00.0;1133.7698;904.7086;838.2006;66.5080;1040.3619
2015-01-02T01:00:00.0/2015-01-02T02:00:00.0;1297.4983;1050.4531;980.4474;70.0057;1063.6903
2015-01-02T02:00:00.0/2015-01-02T03:00:00.0;1387.9487;1131.3214;1059.4318;71.8896;1074.6003
2015-01-02T03:00:00.0/2015-01-02T04:00:00.0;1398.9520;1141.0792;1068.8911;72.1881;1075.6802
2015-01-02T04:00:00.0/2015-01-02T05:00:00.0;1329.7520;1078.7549;1007.3798;71.3750;1066.4309
2015-01-02T05:00:00.0/2015-01-02T06:00:00.0;1185.0568;948.9681;878.6799;70.2882;1043.4788
2015-01-02T06:00:00.0/2015-01-02T07:00:00.0;974.7184;761.3632;692.5924;68.7708;999.1069
2015-01-02T07:00:00.0/2015-01-02T08:00:00.0;713.0611;531.3893;466.2223;65.1670;916.8649
2015-01-02T08:00:00.0/2015-01-02T09:00:00.0;417.9044;281.2080;227.2128;53.9953;750.5410
2015-01-02T09:00:00.0/2015-01-02T10:00:00.0;112.5551;57.2868;35.2923;21.9944;282.8079
2015-01-02T10:00:00.0/2015-01-02T11:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-02T11:00:00.0/2015-01-02T12:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-02T12:00:00.0/2015-01-02T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-02T13:00:00.0/2015-01-02T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
