# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v3.6 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2010-01-01T00:00:00.0
# Date end (ISO 8601): 2015-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): -15.6010
# Longitude (positive East, ISO 19115): -47.7130
# Altitude (m): 999.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2023-07-06
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2010-01-01T00:00:00.0/2010-01-01T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-01T01:00:00.0/2010-01-01T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-01T02:00:00.0/2010-01-01T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-01T03:00:00.0/2010-01-01T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-01T04:00:00.0/2010-01-01T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-01T05:00:00.0/2010-01-01T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-01T06:00:00.0/2010-01-01T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-01T07:00:00.0/2010-01-01T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-01T08:00:00.0/2010-01-01T09:00:00.0;7.4587;2.1016;0.3820;1.7196;9.8037
2010-01-01T09:00:00.0/2010-01-01T10:00:00.0;232.8125;125.4954;83.1164;42.3790;443.4496
2010-01-01T10:00:00.0/2010-01-01T11:00:00.0;551.1969;369.2445;300.1218;69.1227;758.0544
2010-01-01T11:00:00.0/2010-01-01T12:00:00.0;842.1375;611.4112;532.5814;78.8298;887.9034
2010-01-01T12:00:00.0/2010-01-01T13:00:00.0;1085.8126;819.2439;735.5319;83.7120;952.9388
2010-01-01T13:00:00.0/2010-01-01T14:00:00.0;1265.6174;974.1127;886.6191;87.4935;986.0231
2010-01-01T14:00:00.0/2010-01-01T15:00:00.0;1369.2963;1064.1047;974.9285;89.1763;1002.3334
2010-01-01T15:00:00.0/2010-01-01T16:00:00.0;1389.7793;1082.5272;994.4670;88.0602;1007.3918
2010-01-01T16:00:00.0/2010-01-01T17:00:00.0;1325.6649;1027.8865;943.6926;84.1938;1002.1135
2010-01-01T17:00:00.0/2010-01-01T18:00:00.0;1181.3154;904.1755;825.4969;78.6786;983.4448
2010-01-01T18:00:00.0/2010-01-01T19:00:00.0;966.5603;720.9583;648.5863;72.3720;943.5131
2010-01-01T19:00:00.0/2010-01-01T20:00:00.0;696.0256;493.9081;429.9241;63.9840;865.8776
2010-01-01T20:00:00.0/2010-01-01T21:00:00.0;388.1364;245.9964;197.3728;48.6236;698.3384
2010-01-01T21:00:00.0/2010-01-01T22:00:00.0;78.8210;36.7100;22.2988;14.4112;209.0623
2010-01-01T22:00:00.0/2010-01-01T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-01T23:00:00.0/2010-01-02T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-02T00:00:00.0/2010-01-02T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-02T01:00:00.0/2010-01-02T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-02T02:00:00.0/2010-01-02T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-02T03:00:00.0/2010-01-02T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-02T04:00:00.0/2010-01-02T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-02T05:00:00.0/2010-01-02T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
