# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v3.6 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2012-01-01T00:00:00.0
# Date end (ISO 8601): 2017-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): 50.2167
# Longitude (positive East, ISO 19115): -5.3167
# Altitude (m): 83.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2023-07-06
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2012-01-01T00:00:00.0/2012-01-01T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2012-01-01T01:00:00.0/2012-01-01T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2012-01-01T02:00:00.0/2012-01-01T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2012-01-01T03:00:00.0/2012-01-01T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2012-01-01T04:00:00.0/2012-01-01T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2012-01-01T05:00:00.0/2012-01-01T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2012-01-01T06:00:00.0/2012-01-01T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2012-01-01T07:00:00.0/2012-01-01T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2012-01-01T08:00:00.0/2012-01-01T09:00:00.0;26.7796;8.1624;0.5525;7.6099;10.2073
2012-01-01T09:00:00.0/2012-01-01T10:00:00.0;174.9852;80.4292;23.4035;57.0257;172.4646
2012-01-01T10:00:00.0/2012-01-01T11:00:00.0;302.2730;170.5467;76.6578;93.8889;353.1422
2012-01-01T11:00:00.0/2012-01-01T12:00:00.0;380.1538;232.1533;121.0806;111.0728;447.7238
2012-01-01T12:00:00.0/2012-01-01T13:00:00.0;403.3234;252.0110;137.4776;114.5333;479.8610
2012-01-01T13:00:00.0/2012-01-01T14:00:00.0;370.2043;227.1726;120.7193;106.4532;458.3326
2012-01-01T14:00:00.0/2012-01-01T15:00:00.0;283.0536;160.4299;74.4135;86.0164;365.4876
2012-01-01T15:00:00.0/2012-01-01T16:00:00.0;147.8099;66.8008;19.2294;47.5714;159.8690
2012-01-01T16:00:00.0/2012-01-01T17:00:00.0;12.2525;3.4603;0.0994;3.3609;2.5080
2012-01-01T17:00:00.0/2012-01-01T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2012-01-01T18:00:00.0/2012-01-01T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2012-01-01T19:00:00.0/2012-01-01T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2012-01-01T20:00:00.0/2012-01-01T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2012-01-01T21:00:00.0/2012-01-01T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2012-01-01T22:00:00.0/2012-01-01T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2012-01-01T23:00:00.0/2012-01-02T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2012-01-02T00:00:00.0/2012-01-02T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
