# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v3.5 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2010-01-01T00:00:00.0
# Date end (ISO 8601): 2015-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): -12.4250
# Longitude (positive East, ISO 19115): 130.8910
# Altitude (m): 36.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2023-06-19
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2010-01-01T00:00:00.0/2010-01-01T01:00:00.0;1049.6012;723.0579;524.7798;198.2780;702.5384
2010-01-01T01:00:00.0/2010-01-01T02:00:00.0;1238.2074;882.7881;668.8509;213.9373;760.0397
2010-01-01T02:00:00.0/2010-01-01T03:00:00.0;1350.5558;978.9020;757.3870;221.5151;789.4216
2010-01-01T03:00:00.0/2010-01-01T04:00:00.0;1378.9861;1003.4120;779.4118;224.0003;795.7058
2010-01-01T04:00:00.0/2010-01-01T05:00:00.0;1321.5559;954.3439;732.6763;221.6675;780.3383
2010-01-01T05:00:00.0/2010-01-01T06:00:00.0;1182.1725;835.6861;623.3494;212.3366;741.6716
2010-01-01T06:00:00.0/2010-01-01T07:00:00.0;970.3275;658.0454;467.0222;191.0233;675.8743
2010-01-01T07:00:00.0/2010-01-01T08:00:00.0;700.4491;437.8013;282.9846;154.8167;563.5493
2010-01-01T08:00:00.0/2010-01-01T09:00:00.0;390.9183;202.1965;103.1423;99.0542;351.5892
2010-01-01T09:00:00.0/2010-01-01T10:00:00.0;78.6443;26.3755;6.0279;20.3476;50.6863
2010-01-01T10:00:00.0/2010-01-01T11:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-01T11:00:00.0/2010-01-01T12:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-01T12:00:00.0/2010-01-01T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-01T13:00:00.0/2010-01-01T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-01T14:00:00.0/2010-01-01T15:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-01T15:00:00.0/2010-01-01T16:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-01T16:00:00.0/2010-01-01T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-01T17:00:00.0/2010-01-01T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
