# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v3.6 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2017-01-01T00:00:00.0
# Date end (ISO 8601): 2022-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): 36.6260
# Longitude (positive East, ISO 19115): -116.0180
# Altitude (m): 1013.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2023-07-08
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2017-01-01T00:00:00.0/2017-01-01T01:00:00.0;40.5516;19.3586;11.8492;7.5094;173.1582
2017-01-01T01:00:00.0/2017-01-01T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2017-01-01T02:00:00.0/2017-01-01T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2017-01-01T03:00:00.0/2017-01-01T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2017-01-01T04:00:00.0/2017-01-01T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2017-01-01T05:00:00.0/2017-01-01T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2017-01-01T06:00:00.0/2017-01-01T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2017-01-01T07:00:00.0/2017-01-01T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2017-01-01T08:00:00.0/2017-01-01T09:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2017-01-01T09:00:00.0/2017-01-01T10:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2017-01-01T10:00:00.0/2017-01-01T11:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2017-01-01T11:00:00.0/2017-01-01T12:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2017-01-01T12:00:00.0/2017-01-01T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2017-01-01T13:00:00.0/2017-01-01T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2017-01-01T14:00:00.0/2017-01-01T15:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2017-01-01T15:00:00.0/2017-01-01T16:00:00.0;119.9277;67.6189;47.4869;20.1320;431.7374
2017-01-01T16:00:00.0/2017-01-01T17:00:00.0;346.9315;242.2937;200.7676;41.5261;805.9190
2017-01-01T17:00:00.0/2017-01-01T18:00:00.0;528.0530;397.9054;347.5417;50.3637;924.7213
2017-01-01T18:00:00.0/2017-01-01T19:00:00.0;650.9252;506.9309;451.9890;54.9419;977.1882
2017-01-01T19:00:00.0/2017-01-01T20:00:00.0;707.1767;557.9323;500.8213;57.1110;997.0074
2017-01-01T20:00:00.0/2017-01-01T21:00:00.0;692.9747;546.1888;489.2679;56.9209;993.9038
2017-01-01T21:00:00.0/2017-01-01T22:00:00.0;609.2860;472.7821;419.3207;53.4614;968.2772
2017-01-01T22:00:00.0/2017-01-01T23:00:00.0;461.8121;344.5502;298.3648;46.1853;906.6739
2017-01-01T23:00:00.0/2017-01-02T00:00:00.0;260.5997;175.7568;142.2461;33.5107;750.2654
2017-01-02T00:00:00.0/2017-01-02T01:00:00.0;42.5033;21.5695;13.9097;7.6598;201.5955
2017-01-02T01:00:00.0/2017-01-02T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2017-01-02T02:00:00.0/2017-01-02T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2017-01-02T03:00:00.0/2017-01-02T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2017-01-02T04:00:00.0/2017-01-02T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2017-01-02T05:00:00.0/2017-01-02T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2017-01-02T06:00:00.0/2017-01-02T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2017-01-02T07:00:00.0/2017-01-02T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2017-01-02T08:00:00.0/2017-01-02T09:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2017-01-02T09:00:00.0/2017-01-02T10:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2017-01-02T10:00:00.0/2017-01-02T11:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2017-01-02T11:00:00.0/2017-01-02T12:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2017-01-02T12:00:00.0/2017-01-02T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2017-01-02T13:00:00.0/2017-01-02T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2017-01-02T14:00:00.0/2017-01-02T15:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2017-01-02T15:00:00.0/2017-01-02T16:00:00.0;119.5689;63.3116;37.6266;25.6850;331.7267
2017-01-02T16:00:00.0/2017-01-02T17:00:00.0;347.0164;235.1943;177.8525;57.3418;711.5207
2017-01-02T17:00:00.0/2017-01-02T18:00:00.0;528.6788;390.9175;318.8502;72.0673;846.9835
2017-01-02T18:00:00.0/2017-01-02T19:00:00.0;652.1332;499.8373;420.5092;79.3281;907.3574
2017-01-02T19:00:00.0/2017-01-02T20:00:00.0;708.9687;550.3224;468.6510;81.6714;930.6152
2017-01-02T20:00:00.0/2017-01-02T21:00:00.0;695.3125;537.8223;457.4926;80.3297;926.2177
2017-01-02T21:00:00.0/2017-01-02T22:00:00.0;612.0945;464.9742;391.7470;73.2272;900.4855
2017-01-02T22:00:00.0/2017-01-02T23:00:00.0;464.9841;338.6558;278.7665;59.8893;841.1866
2017-01-02T23:00:00.0/2017-01-03T00:00:00.0;264.0035;172.4019;131.6287;40.7732;683.9154
2017-01-03T00:00:00.0/2017-01-03T01:00:00.0;44.5548;21.4033;12.3949;9.0084;173.6797
2017-01-03T01:00:00.0/2017-01-03T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2017-01-03T02:00:00.0/2017-01-03T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2017-01-03T03:00:00.0/2017-01-03T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2017-01-03T04:00:00.0/2017-01-03T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2017-01-03T05:00:00.0/2017-01-03T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2017-01-03T06:00:00.0/2017-01-03T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2017-01-03T07:00:00.0/2017-01-03T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2017-01-03T08:00:00.0/2017-01-03T09:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
