# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v3.5 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2018-01-01T00:00:00.0
# Date end (ISO 8601): 2023-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): 33.5822
# Longitude (positive East, ISO 19115): 130.3764
# Altitude (m): 6.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2023-06-19
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2018-01-01T00:00:00.0/2018-01-01T01:00:00.0;483.2110;332.7018;245.7033;86.9985;710.7770
2018-01-01T01:00:00.0/2018-01-01T02:00:00.0;646.2479;476.1992;377.0786;99.1206;820.1587
2018-01-01T02:00:00.0/2018-01-01T03:00:00.0;744.5411;565.0258;461.8166;103.2092;872.9814
2018-01-01T03:00:00.0/2018-01-01T04:00:00.0;771.3932;590.9590;489.5932;101.3658;893.5275
2018-01-01T04:00:00.0/2018-01-01T05:00:00.0;724.9740;551.8533;457.4553;94.3980;888.1302
2018-01-01T05:00:00.0/2018-01-01T06:00:00.0;608.4449;450.8820;367.6949;83.1871;849.5342
2018-01-01T06:00:00.0/2018-01-01T07:00:00.0;429.7446;296.8864;228.3841;68.5024;741.4227
2018-01-01T07:00:00.0/2018-01-01T08:00:00.0;201.0468;113.7221;71.9407;41.7814;457.6500
2018-01-01T08:00:00.0/2018-01-01T09:00:00.0;10.1906;3.3585;0.8424;2.5161;20.2440
2018-01-01T09:00:00.0/2018-01-01T10:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2018-01-01T10:00:00.0/2018-01-01T11:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2018-01-01T11:00:00.0/2018-01-01T12:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2018-01-01T12:00:00.0/2018-01-01T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2018-01-01T13:00:00.0/2018-01-01T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2018-01-01T14:00:00.0/2018-01-01T15:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2018-01-01T15:00:00.0/2018-01-01T16:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2018-01-01T16:00:00.0/2018-01-01T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2018-01-01T17:00:00.0/2018-01-01T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2018-01-01T18:00:00.0/2018-01-01T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2018-01-01T19:00:00.0/2018-01-01T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2018-01-01T20:00:00.0/2018-01-01T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2018-01-01T21:00:00.0/2018-01-01T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2018-01-01T22:00:00.0/2018-01-01T23:00:00.0;39.0385;13.9789;3.5283;10.4506;47.8260
2018-01-01T23:00:00.0/2018-01-02T00:00:00.0;266.0812;148.2292;82.7160;65.5132;410.7879
2018-01-02T00:00:00.0/2018-01-02T01:00:00.0;483.2662;322.5851;220.9764;101.6087;639.7186
2018-01-02T01:00:00.0/2018-01-02T02:00:00.0;646.8829;459.7318;331.3486;128.3833;720.3044
2018-01-02T02:00:00.0/2018-01-02T03:00:00.0;745.7844;542.8148;395.8508;146.9640;747.1935
2018-01-02T03:00:00.0/2018-01-02T04:00:00.0;773.2318;562.7561;405.9406;156.8155;739.0791
2018-01-02T04:00:00.0/2018-01-02T05:00:00.0;727.3540;517.1218;359.2924;157.8295;694.8273
2018-01-02T05:00:00.0/2018-01-02T06:00:00.0;611.2759;410.5049;263.7123;146.7926;604.9396
2018-01-02T06:00:00.0/2018-01-02T07:00:00.0;432.9054;255.6210;137.9184;117.7027;440.0260
2018-01-02T07:00:00.0/2018-01-02T08:00:00.0;204.3941;89.6872;30.9171;58.7701;183.7311
2018-01-02T08:00:00.0/2018-01-02T09:00:00.0;11.1532;2.9092;0.2209;2.6882;5.1827
2018-01-02T09:00:00.0/2018-01-02T10:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2018-01-02T10:00:00.0/2018-01-02T11:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2018-01-02T11:00:00.0/2018-01-02T12:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2018-01-02T12:00:00.0/2018-01-02T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
