# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v3.6 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2016-01-01T00:00:00.0
# Date end (ISO 8601): 2021-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): 52.2100
# Longitude (positive East, ISO 19115): 14.1220
# Altitude (m): 112.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2023-07-08
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2016-01-01T00:00:00.0/2016-01-01T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-01T01:00:00.0/2016-01-01T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-01T02:00:00.0/2016-01-01T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-01T03:00:00.0/2016-01-01T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-01T04:00:00.0/2016-01-01T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-01T05:00:00.0/2016-01-01T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-01T06:00:00.0/2016-01-01T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-01T07:00:00.0/2016-01-01T08:00:00.0;37.4585;12.4764;2.3786;10.0978;40.6860
2016-01-01T08:00:00.0/2016-01-01T09:00:00.0;178.2336;86.3250;36.8614;49.4637;277.3335
2016-01-01T09:00:00.0/2016-01-01T10:00:00.0;286.8436;165.4238;90.7251;74.6987;442.4946
2016-01-01T10:00:00.0/2016-01-01T11:00:00.0;346.2799;212.8665;126.6462;86.2204;514.5691
2016-01-01T11:00:00.0/2016-01-01T12:00:00.0;352.4949;218.0048;130.5140;87.4908;521.1183
2016-01-01T12:00:00.0/2016-01-01T13:00:00.0;305.0664;179.7795;101.0859;78.6937;464.6011
2016-01-01T13:00:00.0/2016-01-01T14:00:00.0;207.2267;106.0983;49.0780;57.0202;323.9022
2016-01-01T14:00:00.0/2016-01-01T15:00:00.0;66.5086;24.5539;6.2792;18.2747;84.3502
2016-01-01T15:00:00.0/2016-01-01T16:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-01T16:00:00.0/2016-01-01T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-01T17:00:00.0/2016-01-01T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-01T18:00:00.0/2016-01-01T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-01T19:00:00.0/2016-01-01T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-01T20:00:00.0/2016-01-01T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-01T21:00:00.0/2016-01-01T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-01T22:00:00.0/2016-01-01T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-01T23:00:00.0/2016-01-02T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-02T00:00:00.0/2016-01-02T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-02T01:00:00.0/2016-01-02T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-02T02:00:00.0/2016-01-02T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-02T03:00:00.0/2016-01-02T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-02T04:00:00.0/2016-01-02T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-02T05:00:00.0/2016-01-02T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-02T06:00:00.0/2016-01-02T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-02T07:00:00.0/2016-01-02T08:00:00.0;37.7906;13.2578;3.4257;9.8321;59.5035
2016-01-02T08:00:00.0/2016-01-02T09:00:00.0;179.0665;90.8906;46.1485;44.7421;347.5729
2016-01-02T09:00:00.0/2016-01-02T10:00:00.0;288.1151;173.0850;109.0392;64.0458;529.6536
2016-01-02T10:00:00.0/2016-01-02T11:00:00.0;348.0038;223.2562;152.7279;70.5283;617.3961
2016-01-02T11:00:00.0/2016-01-02T12:00:00.0;354.6547;230.8384;162.5046;68.3338;645.0640
2016-01-02T12:00:00.0/2016-01-02T13:00:00.0;307.6158;194.2963;134.3137;59.9827;613.3498
2016-01-02T13:00:00.0/2016-01-02T14:00:00.0;210.0932;119.6614;75.2129;44.4485;495.2587
2016-01-02T14:00:00.0/2016-01-02T15:00:00.0;69.3121;29.8683;13.5467;16.3216;186.3433
2016-01-02T15:00:00.0/2016-01-02T16:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-02T16:00:00.0/2016-01-02T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-02T17:00:00.0/2016-01-02T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-02T18:00:00.0/2016-01-02T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-02T19:00:00.0/2016-01-02T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-02T20:00:00.0/2016-01-02T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-02T21:00:00.0/2016-01-02T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-02T22:00:00.0/2016-01-02T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-02T23:00:00.0/2016-01-03T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-03T00:00:00.0/2016-01-03T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-03T01:00:00.0/2016-01-03T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-03T02:00:00.0/2016-01-03T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-03T03:00:00.0/2016-01-03T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-03T04:00:00.0/2016-01-03T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-03T05:00:00.0/2016-01-03T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-03T06:00:00.0/2016-01-03T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-03T07:00:00.0/2016-01-03T08:00:00.0;38.2387;15.7835;6.9143;8.8692;123.0727
2016-01-03T08:00:00.0/2016-01-03T09:00:00.0;180.0759;103.9354;68.3196;35.6157;518.4352
2016-01-03T09:00:00.0/2016-01-03T10:00:00.0;289.5638;190.7644;141.4093;49.3551;685.0869
2016-01-03T10:00:00.0/2016-01-03T11:00:00.0;349.9034;241.0694;185.5441;55.5253;746.2891
