# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v3.5 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2006-01-01T00:00:00.0
# Date end (ISO 8601): 2011-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): 50.2050
# Longitude (positive East, ISO 19115): -104.7130
# Altitude (m): 589.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2023-06-18
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2006-01-01T00:00:00.0/2006-01-01T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-01T01:00:00.0/2006-01-01T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-01T02:00:00.0/2006-01-01T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-01T03:00:00.0/2006-01-01T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-01T04:00:00.0/2006-01-01T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-01T05:00:00.0/2006-01-01T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-01T06:00:00.0/2006-01-01T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-01T07:00:00.0/2006-01-01T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-01T08:00:00.0/2006-01-01T09:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-01T09:00:00.0/2006-01-01T10:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-01T10:00:00.0/2006-01-01T11:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-01T11:00:00.0/2006-01-01T12:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-01T12:00:00.0/2006-01-01T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-01T13:00:00.0/2006-01-01T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-01T14:00:00.0/2006-01-01T15:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-01T15:00:00.0/2006-01-01T16:00:00.0;74.7323;35.1835;16.8232;18.3603;215.3156
2006-01-01T16:00:00.0/2006-01-01T17:00:00.0;228.4787;142.3441;93.9376;48.4065;568.7691
2006-01-01T17:00:00.0/2006-01-01T18:00:00.0;338.5400;233.8620;170.0254;63.8366;705.2894
2006-01-01T18:00:00.0/2006-01-01T19:00:00.0;396.7953;283.1490;210.7950;72.3540;747.8484
2006-01-01T19:00:00.0/2006-01-01T20:00:00.0;399.2774;282.9963;207.2888;75.7075;730.6586
2006-01-01T20:00:00.0/2006-01-01T21:00:00.0;345.8181;234.8009;163.3111;71.4898;662.8897
2006-01-01T21:00:00.0/2006-01-01T22:00:00.0;240.0607;146.3103;90.3171;55.9932;520.7672
2006-01-01T22:00:00.0/2006-01-01T23:00:00.0;89.2111;41.0347;17.6850;23.3497;205.8319
2006-01-01T23:00:00.0/2006-01-02T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-02T00:00:00.0/2006-01-02T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-02T01:00:00.0/2006-01-02T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-02T02:00:00.0/2006-01-02T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-02T03:00:00.0/2006-01-02T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-02T04:00:00.0/2006-01-02T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-02T05:00:00.0/2006-01-02T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-02T06:00:00.0/2006-01-02T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-02T07:00:00.0/2006-01-02T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-02T08:00:00.0/2006-01-02T09:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-02T09:00:00.0/2006-01-02T10:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-02T10:00:00.0/2006-01-02T11:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-02T11:00:00.0/2006-01-02T12:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-02T12:00:00.0/2006-01-02T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-02T13:00:00.0/2006-01-02T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-02T14:00:00.0/2006-01-02T15:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-02T15:00:00.0/2006-01-02T16:00:00.0;75.2125;35.5653;15.8476;19.7176;199.6536
2006-01-02T16:00:00.0/2006-01-02T17:00:00.0;229.4068;143.5795;91.0412;52.5383;548.7449
2006-01-02T17:00:00.0/2006-01-02T18:00:00.0;339.9297;235.3348;165.1242;70.2106;682.2014
2006-01-02T18:00:00.0/2006-01-02T19:00:00.0;398.6569;284.7176;203.7092;81.0084;719.3864
2006-01-02T19:00:00.0/2006-01-02T20:00:00.0;401.5891;284.7693;198.1954;86.5739;694.5391
2006-01-02T20:00:00.0/2006-01-02T21:00:00.0;348.5279;236.1467;152.6130;83.5338;614.2473
2006-01-02T21:00:00.0/2006-01-02T22:00:00.0;243.0894;146.8125;80.6015;66.2109;457.4619
2006-01-02T22:00:00.0/2006-01-02T23:00:00.0;92.4582;41.4965;14.1332;27.3633;156.6537
2006-01-02T23:00:00.0/2006-01-03T00:00:00.0;0.0493;0.0133;0.0042;0.0091;0.0000
2006-01-03T00:00:00.0/2006-01-03T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-03T01:00:00.0/2006-01-03T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-03T02:00:00.0/2006-01-03T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-03T03:00:00.0/2006-01-03T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-03T04:00:00.0/2006-01-03T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-03T05:00:00.0/2006-01-03T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-03T06:00:00.0/2006-01-03T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-03T07:00:00.0/2006-01-03T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-03T08:00:00.0/2006-01-03T09:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-03T09:00:00.0/2006-01-03T10:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-03T10:00:00.0/2006-01-03T11:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-03T11:00:00.0/2006-01-03T12:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-03T12:00:00.0/2006-01-03T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-03T13:00:00.0/2006-01-03T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-03T14:00:00.0/2006-01-03T15:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-03T15:00:00.0/2006-01-03T16:00:00.0;75.8514;38.3256;20.7184;17.6072;268.5124
2006-01-03T16:00:00.0/2006-01-03T17:00:00.0;230.5103;150.0129;103.8184;46.1944;624.9860
2006-01-03T17:00:00.0/2006-01-03T18:00:00.0;341.4945;243.3205;181.0933;62.2272;745.1035
2006-01-03T18:00:00.0/2006-01-03T19:00:00.0;400.6909;294.1991;223.0600;71.1391;783.6552
2006-01-03T19:00:00.0/2006-01-03T20:00:00.0;404.0681;295.7183;221.8810;73.8373;772.9020
2006-01-03T20:00:00.0/2006-01-03T21:00:00.0;351.3976;247.8360;178.4122;69.4239;713.0640
2006-01-03T21:00:00.0/2006-01-03T22:00:00.0;246.2691;157.0501;100.9648;56.0853;567.8349
2006-01-03T22:00:00.0/2006-01-03T23:00:00.0;95.8465;46.2961;20.7136;25.5825;231.7847
2006-01-03T23:00:00.0/2006-01-04T00:00:00.0;0.1617;0.0404;0.0048;0.0357;0.0000
2006-01-04T00:00:00.0/2006-01-04T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-04T01:00:00.0/2006-01-04T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-04T02:00:00.0/2006-01-04T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-04T03:00:00.0/2006-01-04T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-04T04:00:00.0/2006-01-04T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-04T05:00:00.0/2006-01-04T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-04T06:00:00.0/2006-01-04T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-04T07:00:00.0/2006-01-04T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-04T08:00:00.0/2006-01-04T09:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-04T09:00:00.0/2006-01-04T10:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-04T10:00:00.0/2006-01-04T11:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-04T11:00:00.0/2006-01-04T12:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-04T12:00:00.0/2006-01-04T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-04T13:00:00.0/2006-01-04T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-04T14:00:00.0/2006-01-04T15:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-04T15:00:00.0/2006-01-04T16:00:00.0;76.6492;35.5625;15.4568;20.1058;193.3071
2006-01-04T16:00:00.0/2006-01-04T17:00:00.0;231.7889;143.6801;89.5676;54.1125;533.7587
2006-01-04T17:00:00.0/2006-01-04T18:00:00.0;343.2340;237.1641;165.2510;71.9132;675.9458
2006-01-04T18:00:00.0/2006-01-04T19:00:00.0;402.8961;289.3280;209.2611;80.0669;731.0444
2006-01-04T19:00:00.0/2006-01-04T20:00:00.0;406.7126;292.5302;211.8552;80.6751;733.2274
2006-01-04T20:00:00.0/2006-01-04T21:00:00.0;354.4251;246.3402;172.6187;73.7215;684.1694
2006-01-04T21:00:00.0/2006-01-04T22:00:00.0;249.5976;155.3557;95.5557;59.8000;528.3876
2006-01-04T22:00:00.0/2006-01-04T23:00:00.0;99.3734;45.5034;17.9793;27.5241;195.5351
2006-01-04T23:00:00.0/2006-01-05T00:00:00.0;0.3441;0.0836;0.0032;0.0805;0.0000
2006-01-05T00:00:00.0/2006-01-05T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-05T01:00:00.0/2006-01-05T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-05T02:00:00.0/2006-01-05T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-05T03:00:00.0/2006-01-05T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-05T04:00:00.0/2006-01-05T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-05T05:00:00.0/2006-01-05T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-05T06:00:00.0/2006-01-05T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-05T07:00:00.0/2006-01-05T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-05T08:00:00.0/2006-01-05T09:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-05T09:00:00.0/2006-01-05T10:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-05T10:00:00.0/2006-01-05T11:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-05T11:00:00.0/2006-01-05T12:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-05T12:00:00.0/2006-01-05T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-05T13:00:00.0/2006-01-05T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-05T14:00:00.0/2006-01-05T15:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-05T15:00:00.0/2006-01-05T16:00:00.0;77.6061;39.2202;21.3821;17.8382;273.1566
2006-01-05T16:00:00.0/2006-01-05T17:00:00.0;233.2426;152.9177;108.2822;44.6355;643.7620
2006-01-05T17:00:00.0/2006-01-05T18:00:00.0;345.1473;248.6146;191.2865;57.3281;778.4809
2006-01-05T18:00:00.0/2006-01-05T19:00:00.0;405.2715;301.1467;238.2924;62.8542;827.6464
2006-01-05T19:00:00.0/2006-01-05T20:00:00.0;409.5211;303.5205;240.3931;63.1274;826.2997
2006-01-05T20:00:00.0/2006-01-05T21:00:00.0;357.6085;256.7838;198.9071;57.8767;781.7452
2006-01-05T21:00:00.0/2006-01-05T22:00:00.0;253.0723;166.6602;119.6480;47.0122;657.4227
2006-01-05T22:00:00.0/2006-01-05T23:00:00.0;103.0364;52.9763;29.3227;23.6537;326.0952
2006-01-05T23:00:00.0/2006-01-06T00:00:00.0;0.6027;0.1562;0.0090;0.1471;0.0000
2006-01-06T00:00:00.0/2006-01-06T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-06T01:00:00.0/2006-01-06T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-06T02:00:00.0/2006-01-06T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-06T03:00:00.0/2006-01-06T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-06T04:00:00.0/2006-01-06T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-06T05:00:00.0/2006-01-06T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-06T06:00:00.0/2006-01-06T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-06T07:00:00.0/2006-01-06T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-06T08:00:00.0/2006-01-06T09:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-06T09:00:00.0/2006-01-06T10:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2006-01-06T10:00:00.0/2006-01-06T11:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
