# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v3.6 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2015-01-01T00:00:00.0
# Date end (ISO 8601): 2020-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): 43.7300
# Longitude (positive East, ISO 19115): -96.6200
# Altitude (m): 477.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2023-07-06
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2015-01-01T00:00:00.0/2015-01-01T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-01T01:00:00.0/2015-01-01T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-01T02:00:00.0/2015-01-01T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-01T03:00:00.0/2015-01-01T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-01T04:00:00.0/2015-01-01T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-01T05:00:00.0/2015-01-01T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-01T06:00:00.0/2015-01-01T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-01T07:00:00.0/2015-01-01T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-01T08:00:00.0/2015-01-01T09:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-01T09:00:00.0/2015-01-01T10:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-01T10:00:00.0/2015-01-01T11:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-01T11:00:00.0/2015-01-01T12:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-01T12:00:00.0/2015-01-01T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-01T13:00:00.0/2015-01-01T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-01T14:00:00.0/2015-01-01T15:00:00.0;87.9067;46.6956;29.5078;17.1878;332.5180
2015-01-01T15:00:00.0/2015-01-01T16:00:00.0;280.2582;188.5373;145.5618;42.9755;721.4446
2015-01-01T16:00:00.0/2015-01-01T17:00:00.0;428.6834;314.0687;258.2800;55.7887;846.3525
2015-01-01T17:00:00.0/2015-01-01T18:00:00.0;522.0361;395.6400;333.1267;62.5133;898.0610
2015-01-01T18:00:00.0/2015-01-01T19:00:00.0;553.9570;423.9259;359.2106;64.7153;912.8896
2015-01-01T19:00:00.0/2015-01-01T20:00:00.0;522.2716;396.0437;333.3131;62.7306;898.1525
2015-01-01T20:00:00.0/2015-01-01T21:00:00.0;429.1389;314.5234;258.2906;56.2327;845.4704
2015-01-01T21:00:00.0/2015-01-01T22:00:00.0;280.9043;189.0875;145.7674;43.3201;720.9444
2015-01-01T22:00:00.0/2015-01-01T23:00:00.0;88.6179;47.2089;29.8499;17.3589;334.8549
2015-01-01T23:00:00.0/2015-01-02T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-02T00:00:00.0/2015-01-02T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-02T01:00:00.0/2015-01-02T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-02T02:00:00.0/2015-01-02T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-02T03:00:00.0/2015-01-02T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-02T04:00:00.0/2015-01-02T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-02T05:00:00.0/2015-01-02T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-02T06:00:00.0/2015-01-02T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-02T07:00:00.0/2015-01-02T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-02T08:00:00.0/2015-01-02T09:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-02T09:00:00.0/2015-01-02T10:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-02T10:00:00.0/2015-01-02T11:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-02T11:00:00.0/2015-01-02T12:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-02T12:00:00.0/2015-01-02T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-02T13:00:00.0/2015-01-02T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-02T14:00:00.0/2015-01-02T15:00:00.0;87.9287;46.3579;28.7622;17.5957;323.1604
2015-01-02T15:00:00.0/2015-01-02T16:00:00.0;280.7009;188.0042;143.5249;44.4793;709.9526
2015-01-02T16:00:00.0/2015-01-02T17:00:00.0;429.6259;314.0066;255.9060;58.1005;836.6967
2015-01-02T17:00:00.0/2015-01-02T18:00:00.0;523.5065;396.1999;330.7668;65.4331;889.2036
2015-01-02T18:00:00.0/2015-01-02T19:00:00.0;555.9478;424.7628;356.6743;68.0886;903.2160
2015-01-02T19:00:00.0/2015-01-02T20:00:00.0;524.7399;396.7276;330.3617;66.3659;885.9992
2015-01-02T20:00:00.0/2015-01-02T21:00:00.0;432.0093;314.9698;255.1585;59.8113;829.5570
2015-01-02T21:00:00.0/2015-01-02T22:00:00.0;284.0743;188.8767;141.8059;47.0708;692.1597
2015-01-02T22:00:00.0/2015-01-02T23:00:00.0;91.6800;47.1554;27.6326;19.5227;299.0541
2015-01-02T23:00:00.0/2015-01-03T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-03T00:00:00.0/2015-01-03T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-03T01:00:00.0/2015-01-03T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-03T02:00:00.0/2015-01-03T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-03T03:00:00.0/2015-01-03T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-03T04:00:00.0/2015-01-03T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-03T05:00:00.0/2015-01-03T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-03T06:00:00.0/2015-01-03T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-03T07:00:00.0/2015-01-03T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-03T08:00:00.0/2015-01-03T09:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-03T09:00:00.0/2015-01-03T10:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2015-01-03T10:00:00.0/2015-01-03T11:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
