# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v3.6 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2018-01-01T00:00:00.0
# Date end (ISO 8601): 2023-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): 22.7903
# Longitude (positive East, ISO 19115): 5.5292
# Altitude (m): 1377.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2023-07-06
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2018-01-01T00:00:00.0/2018-01-01T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2018-01-01T01:00:00.0/2018-01-01T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2018-01-01T02:00:00.0/2018-01-01T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2018-01-01T03:00:00.0/2018-01-01T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2018-01-01T04:00:00.0/2018-01-01T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2018-01-01T05:00:00.0/2018-01-01T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2018-01-01T06:00:00.0/2018-01-01T07:00:00.0;59.5524;31.7859;18.8068;12.9790;209.3527
2018-01-01T07:00:00.0/2018-01-01T08:00:00.0;330.7578;235.8965;187.3024;48.5941;777.5505
2018-01-01T08:00:00.0/2018-01-01T09:00:00.0;586.5611;461.9083;398.7088;63.1996;953.4959
2018-01-01T09:00:00.0/2018-01-01T10:00:00.0;787.9245;644.6325;572.0044;72.6281;1021.3383
2018-01-01T10:00:00.0/2018-01-01T11:00:00.0;921.1283;765.7794;684.7921;80.9873;1046.4973
2018-01-01T11:00:00.0/2018-01-01T12:00:00.0;977.0952;816.1639;729.4869;86.6770;1051.0736
2018-01-01T12:00:00.0/2018-01-01T13:00:00.0;952.0096;791.0661;700.7703;90.2957;1036.1465
2018-01-01T13:00:00.0/2018-01-01T14:00:00.0;847.5786;692.3420;600.9918;91.3503;997.5070
2018-01-01T14:00:00.0/2018-01-01T15:00:00.0;670.9153;528.3732;440.9253;87.4479;922.5553
2018-01-01T15:00:00.0/2018-01-01T16:00:00.0;434.0541;314.8856;241.6022;73.2834;772.7715
2018-01-01T16:00:00.0/2018-01-01T17:00:00.0;153.1302;87.3931;51.2683;36.1248;356.8962
2018-01-01T17:00:00.0/2018-01-01T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
