# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v3.6 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2014-01-01T00:00:00.0
# Date end (ISO 8601): 2019-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): 13.0923
# Longitude (positive East, ISO 19115): 79.9738
# Altitude (m): 35.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2023-07-08
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2014-01-01T00:00:00.0/2014-01-01T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2014-01-01T01:00:00.0/2014-01-01T02:00:00.0;130.8121;46.6997;11.7331;34.9666;80.4435
2014-01-01T02:00:00.0/2014-01-01T03:00:00.0;439.4307;230.7728;107.6767;123.0961;332.1873
2014-01-01T03:00:00.0/2014-01-01T04:00:00.0;711.3352;444.8586;256.8500;188.0087;504.8055
2014-01-01T04:00:00.0/2014-01-01T05:00:00.0;926.3197;625.5562;392.5659;232.9902;595.5759
2014-01-01T05:00:00.0/2014-01-01T06:00:00.0;1069.7355;748.3721;485.8037;262.5684;639.1327
2014-01-01T06:00:00.0/2014-01-01T07:00:00.0;1131.8082;802.6867;528.3328;274.3539;657.1596
2014-01-01T07:00:00.0/2014-01-01T08:00:00.0;1108.3054;783.3801;514.7868;268.5933;653.8146
2014-01-01T08:00:00.0/2014-01-01T09:00:00.0;1000.8250;690.0253;440.5833;249.4421;619.1046
2014-01-01T09:00:00.0/2014-01-01T10:00:00.0;816.6871;532.8276;319.6363;213.1913;548.9659
2014-01-01T10:00:00.0/2014-01-01T11:00:00.0;568.4346;330.3066;173.5156;156.7910;422.9867
2014-01-01T11:00:00.0/2014-01-01T12:00:00.0;272.9778;120.8492;44.2390;76.6102;202.1228
2014-01-01T12:00:00.0/2014-01-01T13:00:00.0;20.0787;5.3006;0.5341;4.7665;9.0205
2014-01-01T13:00:00.0/2014-01-01T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2014-01-01T14:00:00.0/2014-01-01T15:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2014-01-01T15:00:00.0/2014-01-01T16:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2014-01-01T16:00:00.0/2014-01-01T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2014-01-01T17:00:00.0/2014-01-01T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
