# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v3.6 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2010-01-01T00:00:00.0
# Date end (ISO 8601): 2015-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): 39.7540
# Longitude (positive East, ISO 19115): 116.9620
# Altitude (m): 17.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2023-07-08
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2010-01-01T00:00:00.0/2010-01-01T01:00:00.0;197.9381;60.9115;7.1740;53.7375;44.8111
2010-01-01T01:00:00.0/2010-01-01T02:00:00.0;393.2434;157.4677;32.1460;125.3216;112.8334
2010-01-01T02:00:00.0/2010-01-01T03:00:00.0;537.7958;246.2760;61.0476;185.2283;159.2570
2010-01-01T03:00:00.0/2010-01-01T04:00:00.0;621.7479;300.4263;77.7887;222.6376;176.0889
2010-01-01T04:00:00.0/2010-01-01T05:00:00.0;639.3803;308.0795;77.9148;230.1646;171.5136
2010-01-01T05:00:00.0/2010-01-01T06:00:00.0;589.4914;266.5208;59.0504;207.4705;140.5144
2010-01-01T06:00:00.0/2010-01-01T07:00:00.0;475.4799;187.2922;31.2059;156.0863;91.0395
2010-01-01T07:00:00.0/2010-01-01T08:00:00.0;305.1133;94.8408;9.2226;85.6182;40.1981
2010-01-01T08:00:00.0/2010-01-01T09:00:00.0;91.6727;20.3691;0.7684;19.6006;7.2933
2010-01-01T09:00:00.0/2010-01-01T10:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-01T10:00:00.0/2010-01-01T11:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-01T11:00:00.0/2010-01-01T12:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-01T12:00:00.0/2010-01-01T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-01T13:00:00.0/2010-01-01T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-01T14:00:00.0/2010-01-01T15:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-01T15:00:00.0/2010-01-01T16:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-01T16:00:00.0/2010-01-01T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-01T17:00:00.0/2010-01-01T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-01T18:00:00.0/2010-01-01T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-01T19:00:00.0/2010-01-01T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-01T20:00:00.0/2010-01-01T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-01T21:00:00.0/2010-01-01T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-01T22:00:00.0/2010-01-01T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-01T23:00:00.0/2010-01-02T00:00:00.0;15.6048;3.2110;0.1158;3.0952;2.4924
2010-01-02T00:00:00.0/2010-01-02T01:00:00.0;197.8026;62.7956;10.6584;52.1371;66.4436
2010-01-02T01:00:00.0/2010-01-02T02:00:00.0;393.5895;172.0269;51.7942;120.2327;180.9192
2010-01-02T02:00:00.0/2010-01-02T03:00:00.0;538.6825;282.1920;111.5723;170.6197;289.8596
2010-01-02T03:00:00.0/2010-01-02T04:00:00.0;623.1976;353.5941;156.4834;197.1107;353.2934
2010-01-02T04:00:00.0/2010-01-02T05:00:00.0;641.3770;368.2978;165.9628;202.3350;364.2728
2010-01-02T05:00:00.0/2010-01-02T06:00:00.0;591.9818;327.9585;142.1989;185.7596;337.6361
2010-01-02T06:00:00.0/2010-01-02T07:00:00.0;478.3774;238.2955;90.8086;147.4869;264.7578
2010-01-02T07:00:00.0/2010-01-02T08:00:00.0;308.3036;123.0498;34.5026;88.5472;150.9576
2010-01-02T08:00:00.0/2010-01-02T09:00:00.0;94.6560;26.0998;3.5409;22.5589;33.4565
2010-01-02T09:00:00.0/2010-01-02T10:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-02T10:00:00.0/2010-01-02T11:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-02T11:00:00.0/2010-01-02T12:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-02T12:00:00.0/2010-01-02T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-02T13:00:00.0/2010-01-02T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-02T14:00:00.0/2010-01-02T15:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-02T15:00:00.0/2010-01-02T16:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-02T16:00:00.0/2010-01-02T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-02T17:00:00.0/2010-01-02T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-02T18:00:00.0/2010-01-02T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-02T19:00:00.0/2010-01-02T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-02T20:00:00.0/2010-01-02T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-02T21:00:00.0/2010-01-02T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-02T22:00:00.0/2010-01-02T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2010-01-02T23:00:00.0/2010-01-03T00:00:00.0;15.5122;3.3803;0.1568;3.2236;3.3868
2010-01-03T00:00:00.0/2010-01-03T01:00:00.0;197.8214;67.4492;14.0499;53.3993;87.8867
2010-01-03T01:00:00.0/2010-01-03T02:00:00.0;394.0940;183.4502;63.7715;119.6788;223.0573
2010-01-03T02:00:00.0/2010-01-03T03:00:00.0;539.7288;296.3104;129.2896;167.0208;335.5526
2010-01-03T03:00:00.0/2010-01-03T04:00:00.0;624.8049;372.1351;181.8455;190.2896;409.3638
2010-01-03T04:00:00.0/2010-01-03T05:00:00.0;643.5263;394.9605;202.8089;192.1516;443.7139
2010-01-03T05:00:00.0/2010-01-03T06:00:00.0;594.6174;360.7507;185.4568;175.2939;438.8644
2010-01-03T06:00:00.0/2010-01-03T07:00:00.0;481.4103;274.8676;135.7277;139.1400;395.0813
2010-01-03T07:00:00.0/2010-01-03T08:00:00.0;311.6180;152.2814;63.9132;88.3681;280.3719
2010-01-03T08:00:00.0/2010-01-03T09:00:00.0;97.7858;33.9701;8.4487;25.5214;80.1749
